Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
Srikar Bharat,10,199,28.43,122.09,0,1,12,8,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226437/srikar-bharat.jpg,290.0,0.0,1.940583265194876
Jitesh Sharma,12,234,29.25,163.64,0,0,22,12,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226474/jitesh-sharma.jpg,409.0,0.0,3.2379394930498773
Ravindra Jadeja,210,2502,26.62,127.65,0,2,182,90,132,7.61,1,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170670/ravindra-jadeja.jpg,3202.5,845.0,100.0
Andre Russell,98,2035,30.37,177.88,0,10,137,175,89,9.14,1,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170821/andre-russell.jpg,2664.0,1035.5,89.64671246319922
Hardik Pandya,107,1963,30.2,147.59,0,8,146,110,50,8.75,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244973/hardik-pandya.jpg,2061.0,1692.0,86.75171736997056
Ravichandran Ashwin,184,647,13.48,117.64,0,1,51,21,157,6.98,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244976/ravichandran-ashwin.jpg,2063.5,865.5,70.59535492312725
Rashid Khan,92,313,11.18,151.94,0,0,20,22,112,6.38,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244769/rashid-khan.jpg,1397.5,1504.0,65.69839712136081
Axar Patel,122,1135,19.24,128.83,0,0,67,54,101,7.25,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244972/axar-patel.jpg,1878.5,603.5,60.61171082760877
Glenn Maxwell,110,2319,25.48,153.88,0,13,197,127,28,8.24,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244786/glenn-maxwell.jpg,2157.0,2062.0,96.52600588812561
Wanindu Hasaranga,18,39,4.88,86.67,0,0,4,1,26,7.78,1,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244676/wanindu-hasaranga.jpg,295.5,1269.5,32.25711481844946
Marcus Stoinis,67,1070,26.1,137.36,0,4,83,48,34,9.61,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244801/marcus-stoinis.jpg,1167.5,817.0,46.19561661759896
Moeen Ali,44,910,23.33,143.99,0,5,76,53,24,6.79,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244796/moeen-ali.jpg,988.5,1218.5,49.39156035328754
Venkatesh Iyer,22,552,27.6,120.79,0,5,54,21,3,9.2,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226278/venkatesh-iyer.jpg,454.5,164.0,14.720314033366044
Sam Curran,32,337,22.47,149.78,0,2,30,18,32,9.21,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244812/sam-curran.jpg,595.0,542.0,25.816159633627738
Jason Holder,38,247,13.0,124.12,0,0,13,17,49,8.57,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244677/jason-holder.jpg,695.5,821.5,33.93195943735689
Ben Stokes,43,920,25.56,134.5,2,2,79,32,28,8.56,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244791/ben-stokes.jpg,966.5,700.0,38.639188747137716
Shakib Al Hasan,71,793,19.82,124.49,0,2,73,21,63,7.44,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244928/shakib-al-hasan.jpg,1230.5,2945.0,89.61072947333987
Rahul Tewatia,64,738,25.45,130.39,0,1,57,35,32,7.92,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c196288/rahul-tewatia.jpg,905.5,0.0,23.303892705266602
Shahrukh Khan,19,270,19.29,121.62,0,0,13,19,0,0.0,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226465/shahrukh-khan.jpg,233.0,0.0,5.704939483153418
Washington Sundar,51,318,14.45,120.45,0,0,26,9,33,7.23,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171035/washington-sundar.jpg,573.0,386.5,22.188420019627088
Krunal Pandya,98,1326,22.1,136.7,0,1,121,50,61,7.31,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171069/krunal-pandya.jpg,1662.5,248.5,47.99149492966961
Tim David,9,187,31.17,210.11,0,0,12,16,0,0.0,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244810/tim-david.jpg,178.0,534.0,14.746483480536474
Mitchell Marsh,29,476,22.67,123.32,0,2,28,28,24,8.01,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244805/mitchell-marsh.jpg,610.5,972.5,34.67124631992149
Abhishek Sharma,36,667,23.82,135.29,0,2,64,25,7,8.23,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c153963/abhishek-sharma.jpg,599.0,0.0,15.282957147530258
Deepak Hooda,95,1236,20.26,132.05,0,7,77,56,10,8.61,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244970/deepak-hooda.jpg,1007.5,353.5,32.91135099771017
Marco Jansen,10,9,3.0,90.0,0,0,0,1,9,8.39,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244774/marco-jansen.jpg,97.5,21.0,2.5711481844946023
Shivam Dube,35,688,24.57,133.33,0,3,46,38,4,9.4,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c183291/shivam-dube.jpg,577.5,129.5,17.262021589793918
Harpreet Brar,15,106,35.33,111.58,0,0,6,5,9,7.79,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226471/harpreet-brar.jpg,167.5,0.0,3.9908406934903504
Shahbaz Ahmed,29,279,18.6,118.72,0,0,18,11,13,8.58,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226473/shahbaz-ahmed.jpg,343.5,0.0,8.59666339548577
David Willey,7,18,9.0,60.0,0,0,3,0,3,7.95,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244795/david-willey.jpg,45.0,697.0,14.465161923454367
Mitchell Santner,12,54,18.0,108.0,0,0,3,3,10,6.92,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244828/mitchell-santner.jpg,152.0,1304.0,29.178933595027807
Vijay Shankar,51,731,23.58,122.04,0,3,46,28,9,8.67,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170664/vijay-shankar.jpg,619.0,140.0,18.554138043833824
